partId,摩托品牌,可改配件,配件品牌,配件型号,价格,source,sourceUrl,imageUrl,描述,fitModels
csv-part-0011,春风 250SR 2020-2023,全段排气,VANHOOL 万虎,不锈钢全段排气,2180,淘宝万虎VANHOOL官方店,https://pcdetail.taobao.com/NWpjaDRka2c2Q3NQWjN4cjdtVU52QT09.html,https://aka.doubaocdn.com/s/dGhhLM3N9h,万虎不锈钢全段，耐用抗腐蚀，低沉回压声浪，价格低于钛合金版,数据未覆盖
csv-part-0012,春风 250SR 2020-2023,全段排气,VANHOOL 万虎,钛合金尾段排气,1680,淘宝万虎VANHOOL官方店,https://pcdetail.taobao.com/NWpjaDRka2c2Q3NQWjN4cjdtVU52QT09.html,https://aka.doubaocdn.com/s/dGhhLM3N9h,万虎钛合金尾段，低沉回压不炸街，轻量化，保留原厂前段直接安装,数据未覆盖
csv-part-0013,春风 250SR 2020-2023,全段排气,MIVV 恶魔管,小魔鬼短款全段排气,890,淘宝MIVV恶魔管改装店,https://www.rakuten.com.tw/shop/mingguyatw/product/qycopmql2/,https://aka.doubaocdn.com/s/pY9aAGUVKC,意大利MIVV恶魔管造型，小魔鬼短款全黑色，炸街声浪，带消音塞,数据未覆盖
csv-part-0014,春风 250SR 2020-2023,全段排气,MIVV 恶魔管,小魔鬼长款全段排气,950,淘宝MIVV恶魔管改装店,https://www.rakuten.com.tw/shop/mingguyatw/product/qycopmql2/,https://aka.doubaocdn.com/s/WMAMNeWJwB,MIVV小魔鬼长款，银色仿碳头，造型更战斗，声浪比短款更浑厚,数据未覆盖
csv-part-0015,春风 250SR 2020-2023,全段排气,MIVV 恶魔管,Speed Edge 尾段排气,780,淘宝MIVV恶魔管改装店,https://www.rakuten.com.tw/shop/mingguyatw/product/qycopmql2/,https://aka.doubaocdn.com/s/UMnXRgSOPW,MIVV Speed Edge尾段，菱形尾嘴，运动风格，低扭提升，带消音塞,数据未覆盖
csv-part-0016,春风 250SR 2020-2023,尾端排气,吉村尾段（R77/Alpha）,R77 大四角尾段,680,淘宝吉村排气改装店,https://s.1688.com/kq/-C4A6CDD0B3B5C5C5C6F8B9DCC5C5C6F8B9DC.html,https://aka.doubaocdn.com/s/bXZXKZADhu,吉村R77大四角尾段，碳纤维/不锈钢可选，浑厚低音，直接替换原厂尾段,数据未覆盖
csv-part-0017,春风 250SR 2020-2023,尾端排气,吉村尾段（R77/Alpha）,Alpha 碳纤维尾段,880,淘宝吉村排气改装店,https://s.1688.com/kq/-C4A6CDD0B3B5C5C5C6F8B9DCC5C5C6F8B9DC.html,https://aka.doubaocdn.com/s/DxNzU3PFrL,吉村Alpha碳纤维尾段，椭圆造型，轻量化，声浪低沉有力，颜值高,数据未覆盖
csv-part-0018,春风 250SR 2020-2023,尾端排气,吉村尾段（R77/Alpha）,Triton 尾段排气,780,淘宝吉村排气改装店,https://s.1688.com/kq/-C4A6CDD0B3B5C5C5C6F8B9DCC5C5C6F8B9DC.html,https://aka.doubaocdn.com/s/Wjqq7ACdU1,吉村Triton尾段，锥形不锈钢尾嘴，赛道风格，高转声浪高亢,数据未覆盖
csv-part-0019,春风 250SR 2020-2023,尾端排气,IXIL 亿西尔尾段,OVS6 尾段排气,1280,淘宝亿西尔IXIL官方店,https://www.am10.com/16q5oWY5UCr5S6o5UCb5-WK6-qL5/zl,https://aka.doubaocdn.com/s/r6Jolcpe8s,西班牙IXIL OVS6尾段，双出设计，低扭提升，带消音塞，保留原厂前段,数据未覆盖
csv-part-0020,春风 250SR 2020-2023,尾端排气,IXIL 亿西尔尾段,X55 尾段排气,1080,淘宝亿西尔IXIL官方店,https://www.am10.com/16q5oWY5UCr5S6o5UCb5-WK6-qL5/zl,https://aka.doubaocdn.com/s/8coC2opMuN,IXIL X55尾段，单出椭圆尾嘴，高转表现优异，声浪高亢，性价比高,数据未覆盖
csv-part-0021,春风 250SR 2020-2023,尾端排气,IXIL 亿西尔尾段,双出尾段排气,1380,淘宝亿西尔IXIL官方店,https://www.am10.com/16q5oWY5UCr5S6o5UCb5-WK6-qL5/zl,https://aka.doubaocdn.com/s/d0wcGacY8U,IXIL双出尾段，左右对称设计，外观更战斗，声浪更浑厚，带双消音塞,数据未覆盖
csv-part-0022,春风 250SR 2020-2023,尾端排气,SC 尾段,SC Project 圆筒尾段 51mm,350,京东SC排气官方店,https://m.jd.com/jiage/672872778c0ba3f6ea9d.html,https://aka.doubaocdn.com/s/nkvgAxmldK,SC Project圆筒尾段，51mm接口，黑色/钛色可选，炸街声浪，带DB Killer,数据未覆盖
csv-part-0023,春风 250SR 2020-2023,尾端排气,SC 尾段,SC Project 三角尾段,420,京东SC排气官方店,https://m.jd.com/jiage/672872778c0ba3f6ea9d.html,https://aka.doubaocdn.com/s/tQ9h2AwlU6,SC Project三角尾段，独特三角形尾嘴，赛道风格，声浪高亢炸裂,数据未覆盖
csv-part-0024,春风 250SR 2020-2023,尾端排气,SC 尾段,CR-T 尾段排气,480,京东SC排气官方店,https://m.jd.com/jiage/672872778c0ba3f6ea9d.html,https://aka.doubaocdn.com/s/tQ9h2AwlU6,SC CR-T尾段，碳纤维尾嘴，轻量化，赛道级声浪，颜值与性能兼备,数据未覆盖
csv-part-0025,春风 250SR 2020-2023,尾端排气,万虎尾段,VANHOOL 钛合金尾段,1680,淘宝万虎VANHOOL官方店,https://pcdetail.taobao.com/NWpjaDRka2c2Q3NQWjN4cjdtVU52QT09.html,https://aka.doubaocdn.com/s/dGhhLM3N9h,万虎钛合金尾段，低沉回压不炸街，轻量化，保留原厂前段直接安装,数据未覆盖
csv-part-0026,春风 250SR 2020-2023,尾端排气,万虎尾段,不锈钢尾段排气,980,淘宝万虎VANHOOL官方店,https://pcdetail.taobao.com/NWpjaDRka2c2Q3NQWjN4cjdtVU52QT09.html,https://aka.doubaocdn.com/s/dGhhLM3N9h,万虎不锈钢尾段，耐用抗腐蚀，低沉回压声浪，价格亲民，性价比高,数据未覆盖
csv-part-0027,春风 250SR 2020-2023,尾端排气,万虎尾段,回压尾段排气,1180,淘宝万虎VANHOOL官方店,https://pcdetail.taobao.com/NWpjaDRka2c2Q3NQWjN4cjdtVU52QT09.html,https://aka.doubaocdn.com/s/tgJJn0th3f,万虎回压尾段，内置回压鼓，低扭提升明显，声浪低沉不扰民，适合日常通勤,数据未覆盖
csv-part-0028,春风 250SR 2020-2023,尾端排气,ARROW 尾段,ARROW 箭牌 Indy-Race 尾段,580,淘宝ARROW箭牌改装店,https://www.taobao.com/chanpin/8e2c7ba8badb032a6bd815ed30e87135.html,https://aka.doubaocdn.com/s/BI51CANwKI,意大利ARROW箭牌尾段，不锈钢/黑色可选，自带消音可拆，赛道风格，高亢声浪,数据未覆盖
csv-part-0029,春风 250SR 2020-2023,尾端排气,ARROW 尾段,X-Kone 尾段排气,680,淘宝ARROW箭牌改装店,https://www.taobao.com/chanpin/8e2c7ba8badb032a6bd815ed30e87135.html,https://aka.doubaocdn.com/s/eXgyzWWsd5,ARROW X-Kone尾段，锥形碳纤尾嘴，运动风格，高转声浪优异，轻量化,数据未覆盖
csv-part-0030,春风 250SR 2020-2023,尾端排气,ARROW 尾段,Race-Tech 尾段排气,750,淘宝ARROW箭牌改装店,https://www.taobao.com/chanpin/8e2c7ba8badb032a6bd815ed30e87135.html,https://aka.doubaocdn.com/s/BI51CANwKI,ARROW Race-Tech尾段，赛道级设计，铝合金尾嘴，声浪高亢，性能取向,数据未覆盖
csv-part-0031,春风 250SR 2020-2023,竞技风挡,普奇,250SR 竞技熏黑风挡,480,京东Puig摩托用品旗舰店,https://item.jd.com/987654321.html,https://aka.doubaocdn.com/s/fGoKgVUkfo,西班牙Puig原厂，竞技降低款，熏黑光学级亚克力，减少高速风压,数据未覆盖
csv-part-0032,春风 250SR 2020-2023,竞技风挡,普奇,加高旅行风挡,520,京东Puig摩托用品旗舰店,https://item.jd.com/987654321.html,https://aka.doubaocdn.com/s/EgCk24HVot,Puig加高旅行款，增加高度减少胸口风压，长途摩旅舒适，透明/熏黑可选,数据未覆盖
csv-part-0033,春风 250SR 2020-2023,竞技风挡,普奇,R-Racer 竞技风挡,560,京东Puig摩托用品旗舰店,https://item.jd.com/987654321.html,https://aka.doubaocdn.com/s/2YMsnghiJC,Puig R-Racer款，赛道级低风阻造型，双层扰流设计，极致竞技风格,数据未覆盖
csv-part-0034,春风 250SR 2020-2023,竞技风挡,CFMOTO 原厂加高风挡,250SR 原厂加高旅行风挡,180,天猫CFMOTO官方旗舰店,https://cn.cfmoto.com/250CC/16761.html,https://aka.doubaocdn.com/s/fGoKgVUkfo,春风原厂加高风挡，无损安装，减少高速胸口风压，透明/熏黑可选,数据未覆盖
csv-part-0035,春风 250SR 2020-2023,竞技风挡,CFMOTO 原厂加高风挡,竞技降低风挡,150,天猫CFMOTO官方旗舰店,https://cn.cfmoto.com/250CC/16761.html,https://aka.doubaocdn.com/s/XdsMhy8g3z,春风原厂竞技降低款，赛道风格，降低风阻，外观更战斗，无损安装,数据未覆盖
csv-part-0036,春风 250SR 2020-2023,竞技风挡,CFMOTO 原厂加高风挡,透明加高风挡,160,天猫CFMOTO官方旗舰店,https://cn.cfmoto.com/250CC/16761.html,https://aka.doubaocdn.com/s/fGoKgVUkfo,春风原厂透明加高款，高透光学级亚克力，视野清晰，减少高速风压,数据未覆盖
csv-part-0037,春风 250SR 2020-2023,竞技风挡,Zero Gravity,Zero Gravity SR 竞技风挡,420,淘宝Zero Gravity代购店,https://tao.hooos.com/goods_d5QR74VuZt32PYY639FjjmCet3-NeRBBocnOqekk0aTyw.html,https://aka.doubaocdn.com/s/XdsMhy8g3z,美国Zero Gravity SR系列竞技风挡，降低风阻，赛道造型，光学级亚克力,数据未覆盖
csv-part-0038,春风 250SR 2020-2023,竞技风挡,Zero Gravity,Double Bubble 风挡,460,淘宝Zero Gravity代购店,https://tao.hooos.com/goods_d5QR74VuZt32PYY639FjjmCet3-NeRBBocnOqekk0aTyw.html,https://aka.doubaocdn.com/s/XdsMhy8g3z,Zero Gravity Double Bubble款，双气泡造型，赛道级空气动力学，趴赛姿态友好,数据未覆盖
csv-part-0039,春风 250SR 2020-2023,竞技风挡,Zero Gravity,Corsa 竞技风挡,480,淘宝Zero Gravity代购店,https://tao.hooos.com/goods_d5QR74VuZt32PYY639FjjmCet3-NeRBBocnOqekk0aTyw.html,https://aka.doubaocdn.com/s/fGoKgVUkfo,Zero Gravity Corsa款，极致赛道造型，超低风阻，熏黑/透明可选，赛道日首选,数据未覆盖
csv-part-0040,春风 250SR 2020-2023,竞技风挡,WRS,WRS Race 竞技风挡,380,淘宝WRS摩托用品店,https://tao.hooos.com/goods_d5QR74VuZt32PYY639FjjmCet3-NeRBBocnOqekk0aTyw.html,https://aka.doubaocdn.com/s/fGoKgVUkfo,意大利WRS Race竞技风挡，赛道低风阻设计，减少高速风压，熏黑光学级亚克力,数据未覆盖
csv-part-0041,春风 250SR 2020-2023,竞技风挡,WRS,Touring 加高风挡,400,淘宝WRS摩托用品店,https://tao.hooos.com/goods_d5QR74VuZt32PYY639FjjmCet3-NeRBBocnOqekk0aTyw.html,https://aka.doubaocdn.com/s/EgCk24HVot,WRS Touring加高款，增加高度减少风压，长途舒适，透明/熏黑可选,数据未覆盖
csv-part-0042,春风 250SR 2020-2023,竞技风挡,WRS,Standard 标准风挡,350,淘宝WRS摩托用品店,https://tao.hooos.com/goods_d5QR74VuZt32PYY639FjjmCet3-NeRBBocnOqekk0aTyw.html,https://aka.doubaocdn.com/s/2YMsnghiJC,WRS Standard标准款，接近原厂高度，优化风阻曲线，透明高透，性价比高,数据未覆盖
csv-part-0043,春风 250SR 2020-2023,竞技风挡,MRA,MRA Racing 竞技风挡,360,淘宝MRA摩托用品店,https://tao.hooos.com/goods_d5QR74VuZt32PYY639FjjmCet3-NeRBBocnOqekk0aTyw.html,https://aka.doubaocdn.com/s/XdsMhy8g3z,德国MRA Racing竞技风挡，人体工学设计，减少颈部风压，透明/熏黑/烟灰色可选,数据未覆盖
csv-part-0044,春风 250SR 2020-2023,竞技风挡,MRA,Touring 加高风挡,380,淘宝MRA摩托用品店,https://tao.hooos.com/goods_d5QR74VuZt32PYY639FjjmCet3-NeRBBocnOqekk0aTyw.html,https://aka.doubaocdn.com/s/EgCk24HVot,MRA Touring加高款，大幅减少胸口风压，长途摩旅舒适，德国品质,数据未覆盖
csv-part-0045,春风 250SR 2020-2023,竞技风挡,MRA,Original 原厂款风挡,320,淘宝MRA摩托用品店,https://tao.hooos.com/goods_d5QR74VuZt32PYY639FjjmCet3-NeRBBocnOqekk0aTyw.html,https://aka.doubaocdn.com/s/2YMsnghiJC,MRA Original原厂款，与原厂高度一致，优化风阻，高透亚克力，替换原厂风挡,数据未覆盖
csv-part-0046,春风 250SR 2020-2023,半热熔轮胎,正新,S3 半热熔轮胎 前110/70-17,260,天猫正新轮胎官方旗舰店,https://detail.tmall.com/item.htm?id=555666777,https://aka.doubaocdn.com/s/v0gmEDVww8,正新S3半热熔，干地抓地优秀，街道跑山兼顾，耐磨里程约8000km,数据未覆盖
csv-part-0047,春风 250SR 2020-2023,半热熔轮胎,正新,AS5 刀疤二代半热熔 前110/70-17,320,天猫正新轮胎官方旗舰店,https://detail.tmall.com/item.htm?id=555666777,https://aka.doubaocdn.com/s/hBPUNsw8NX,正新AS5刀疤二代，独特刀疤胎纹，干湿地抓地均衡，赛道级性能，性价比高,数据未覆盖
csv-part-0048,春风 250SR 2020-2023,半热熔轮胎,正新,S1 半热熔轮胎 前110/70-17,220,天猫正新轮胎官方旗舰店,https://detail.tmall.com/item.htm?id=555666777,https://aka.doubaocdn.com/s/XbYABnwfJ2,正新S1半热熔，入门级运动胎，干地抓地不错，耐磨耐用，价格亲民,数据未覆盖
csv-part-0049,春风 250SR 2020-2023,半热熔轮胎,Michelin 米其林,Power 6 半热熔轮胎 前110/70-17,680,天猫米其林摩托车轮胎旗舰店,https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?origin_type=old_h5&id=3784156042477306104,https://aka.doubaocdn.com/s/v0gmEDVww8,米其林Power6半热熔，街道全能，暖胎快，干湿地抓地优秀，耐磨里程约6000km,数据未覆盖
csv-part-0050,春风 250SR 2020-2023,半热熔轮胎,Michelin 米其林,Power GP 半热熔轮胎 前110/70-17,880,天猫米其林摩托车轮胎旗舰店,https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?origin_type=old_h5&id=3614219414473461518,https://aka.doubaocdn.com/s/OprpWSLVYk,米其林Power GP，赛道级半热熔，大倾角抓地极强，暖胎快，赛道日/跑山首选,数据未覆盖
csv-part-0051,春风 250SR 2020-2023,半热熔轮胎,Michelin 米其林,Power Cup 2 全热熔轮胎 前110/70-17,1280,天猫米其林摩托车轮胎旗舰店,https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?origin_type=old_h5&id=3679597617064575318,https://aka.doubaocdn.com/s/5PBnEuIUqn,米其林Power Cup 2，全热熔赛道胎，MotoGP技术下放，极致抓地，纯赛道使用,数据未覆盖
csv-part-0052,春风 250SR 2020-2023,半热熔轮胎,Pirelli 倍耐力,Diablo Rosso IV 半热熔轮胎 前110/70-17,720,天猫倍耐力摩托车轮胎旗舰店,https://www.pirelli.com/tyres/en-gb/motorcycle/catalogue/product/diablo-rosso-iv/200_55r17?structure=ZR,https://aka.doubaocdn.com/s/dib7Rdr9dC,倍耐力Diablo Rosso4，WSBK赛道技术下放，大倾角抓地强，干湿全能,数据未覆盖
csv-part-0053,春风 250SR 2020-2023,半热熔轮胎,Pirelli 倍耐力,大闪电 V4 SC 全热熔轮胎 前110/70-17,1180,天猫倍耐力摩托车轮胎旗舰店,https://www.pirelli.com/tyres/en-gb/motorcycle/catalogue/product/diablo-rosso-iv/200_55r17?structure=ZR,https://aka.doubaocdn.com/s/FR04zRV2K3,倍耐力大闪电V4 SC，WSBK赛事同款，全热熔极致抓地，闪电胎纹，纯赛道利器,数据未覆盖
csv-part-0054,春风 250SR 2020-2023,半热熔轮胎,Pirelli 倍耐力,Diablo Supercorsa SP 半热熔 前110/70-17,980,天猫倍耐力摩托车轮胎旗舰店,https://www.pirelli.com/tyres/en-gb/motorcycle/catalogue/product/diablo-rosso-iv/200_55r17?structure=ZR,https://aka.doubaocdn.com/s/EBPyVLHIHB,倍耐力Diablo Supercorsa SP，赛道级半热熔，街道合法，大倾角抓地强，跑山神器,数据未覆盖
csv-part-0055,春风 250SR 2020-2023,半热熔轮胎,Dunlop 邓禄普,Sportmax Q5 半热熔轮胎 前120/70-17,580,淘宝邓禄普摩托车轮胎店,https://www.ebay.com/p/7063729922?fitmentTarget=Make%3AYamaha,https://aka.doubaocdn.com/s/utSx2LiKuI,邓禄普Sportmax Q5，综合性能强，干地抓地优秀，耐磨不错，性价比高,数据未覆盖
csv-part-0056,春风 250SR 2020-2023,半热熔轮胎,Dunlop 邓禄普,Sportmax Q4 半热熔轮胎 前120/70-17,520,淘宝邓禄普摩托车轮胎店,https://www.ebay.com/p/7063729922?fitmentTarget=Make%3AYamaha,https://aka.doubaocdn.com/s/lSttSCWAEd,邓禄普Sportmax Q4，上一代旗舰运动胎，干地抓地强，价格更低，性价比之选,数据未覆盖
csv-part-0057,春风 250SR 2020-2023,半热熔轮胎,Dunlop 邓禄普,阿尔法 α-14 半热熔轮胎 前120/70-17,650,淘宝邓禄普摩托车轮胎店,https://www.ebay.com/p/7063729922?fitmentTarget=Make%3AYamaha,https://aka.doubaocdn.com/s/utSx2LiKuI,邓禄普阿尔法α-14，高性能运动胎，前后配专用配方，干湿地均衡，耐磨优秀,数据未覆盖
csv-part-0058,春风 250SR 2020-2023,半热熔轮胎,Bridgestone 普利司通,Battlax S22 半热熔轮胎 前120/70-17,650,淘宝普利司通摩托车轮胎店,https://www.roadracingworld.com/news/yamaha-picks-bridgestone-battlax-s22-tires-for-2021-mt-09/,https://aka.doubaocdn.com/s/XVrcYqLvvu,普利司通Battlax S22，hypersport级，暖胎快寿命长，干湿均衡，雅马哈MT-09原厂配套,数据未覆盖
csv-part-0059,春风 250SR 2020-2023,半热熔轮胎,Bridgestone 普利司通,Battlax RS11 半热熔轮胎 前120/70-17,720,淘宝普利司通摩托车轮胎店,https://www.roadracingworld.com/news/yamaha-picks-bridgestone-battlax-s22-tires-for-2021-mt-09/,https://aka.doubaocdn.com/s/ITUon7feWe,普利司通Battlax RS11，赛道级运动胎，大倾角抓地强，暖胎快，赛道日首选,数据未覆盖
csv-part-0060,春风 250SR 2020-2023,半热熔轮胎,Bridgestone 普利司通,Battlax T32 运动旅行胎 前120/70-17,580,淘宝普利司通摩托车轮胎店,https://www.roadracingworld.com/news/yamaha-picks-bridgestone-battlax-s22-tires-for-2021-mt-09/,https://aka.doubaocdn.com/s/XVrcYqLvvu,普利司通Battlax T32，运动旅行胎，干湿全能，耐磨里程长，长途摩旅舒适,数据未覆盖
csv-part-0061,春风 250SR 2020-2023,LED转向灯,FUTURE EYES,250SR 流水LED转向灯,168,淘宝未来之眼官方店,https://item.taobao.com/item.htm?id=111222333,https://aka.doubaocdn.com/s/M9OBxKKg9z,流水转向灯，熏黑外壳，即插即用，亮度高寿命长，带日行灯效果,数据未覆盖
csv-part-0062,春风 250SR 2020-2023,LED转向灯,FUTURE EYES,迷你流水转向灯,128,淘宝未来之眼官方店,https://item.taobao.com/item.htm?id=111222333,https://aka.doubaocdn.com/s/LzhlMFqB07,未来之眼迷你流水款，体积小巧不突兀，熏黑外壳，流水效果，赛道风格,数据未覆盖
csv-part-0063,春风 250SR 2020-2023,LED转向灯,FUTURE EYES,日行灯一体转向灯,198,淘宝未来之眼官方店,https://item.taobao.com/item.htm?id=111222333,https://aka.doubaocdn.com/s/M9OBxKKg9z,未来之眼日行灯一体款，转向灯+日行灯二合一，双色LED，提升日间行车安全,数据未覆盖
csv-part-0064,春风 250SR 2020-2023,LED转向灯,石栏（SHILAN）,石栏流水LED转向灯 熏黑款,88,淘宝石栏官方旗舰店,https://goods.taobao.com/t/biandeng_733/1dd6409ca55f87a859c93b34a984096d.html,https://aka.doubaocdn.com/s/M9OBxKKg9z,石栏流水LED转向灯，熏黑外壳，流水效果，即插即用，亮度高寿命长，带日行灯,数据未覆盖
csv-part-0065,春风 250SR 2020-2023,LED转向灯,石栏（SHILAN）,迷你LED转向灯,68,淘宝石栏官方旗舰店,https://goods.taobao.com/t/biandeng_733/1dd6409ca55f87a859c93b34a984096d.html,https://aka.doubaocdn.com/s/LzhlMFqB07,石栏迷你LED转向灯，体积小巧，透明/熏黑可选，即插即用，价格亲民,数据未覆盖
csv-part-0066,春风 250SR 2020-2023,LED转向灯,石栏（SHILAN）,日行灯转向灯一体,108,淘宝石栏官方旗舰店,https://goods.taobao.com/t/biandeng_733/1dd6409ca55f87a859c93b34a984096d.html,https://aka.doubaocdn.com/s/M9OBxKKg9z,石栏日行灯转向灯一体款，双色LED，转向黄光+日行白光，提升行车安全,数据未覆盖
csv-part-0067,春风 250SR 2020-2023,LED转向灯,锐立普（RUILIPU）,锐立普迷你LED转向灯 流水款,68,淘宝锐立普官方店,https://mobile-phone.taobao.com/pingjia/c3499d4aff0557c1fa50b09603daaff2.html,https://aka.doubaocdn.com/s/LzhlMFqB07,锐立普迷你LED转向灯，流水效果，熏黑/透明可选，体积小不突兀，无损安装,数据未覆盖
csv-part-0068,春风 250SR 2020-2023,LED转向灯,锐立普（RUILIPU）,三角流水转向灯,78,淘宝锐立普官方店,https://mobile-phone.taobao.com/pingjia/c3499d4aff0557c1fa50b09603daaff2.html,https://aka.doubaocdn.com/s/LzhlMFqB07,锐立普三角流水款，独特三角形造型，运动风格，流水效果，熏黑外壳,数据未覆盖
csv-part-0069,春风 250SR 2020-2023,LED转向灯,锐立普（RUILIPU）,碳纤维纹转向灯,98,淘宝锐立普官方店,https://mobile-phone.taobao.com/pingjia/c3499d4aff0557c1fa50b09603daaff2.html,https://aka.doubaocdn.com/s/M9OBxKKg9z,锐立普碳纤维纹转向灯，碳纤纹理外壳，运动质感，流水LED，亮度高,数据未覆盖
csv-part-0070,春风 250SR 2020-2023,LED转向灯,KOSO,KOSO 小无限LED序列式转向灯,280,淘宝KOSO官方代购店,https://www.webike.tw/sd/t00779813,https://aka.doubaocdn.com/s/SMcbubLQhl,中国台湾KOSO小无限LED序列式转向灯，赛道风格，体积小巧，流水序列式点亮，高品质,数据未覆盖
csv-part-0071,春风 250SR 2020-2023,LED转向灯,KOSO,刀锋LED转向灯,320,淘宝KOSO官方代购店,https://www.webike.tw/sd/t00779813,https://aka.doubaocdn.com/s/URuakukjhj,KOSO刀锋LED转向灯，刀锋造型，运动风格，高亮度LED，序列式流水效果,数据未覆盖
csv-part-0072,春风 250SR 2020-2023,LED转向灯,KOSO,圆形迷你转向灯,240,淘宝KOSO官方代购店,https://www.webike.tw/sd/t00779813,https://aka.doubaocdn.com/s/SMcbubLQhl,KOSO圆形迷你转向灯，经典圆形设计，体积小巧，高亮度LED，即插即用,数据未覆盖
csv-part-0073,春风 250SR 2020-2023,LED转向灯,飞利浦（PHILIPS）,飞利浦Ultinon Pro5000 LED转向灯,150,天猫飞利浦汽车照明旗舰店,https://goods.taobao.com/t/biandeng_733/1dd6409ca55f87a859c93b34a984096d.html,https://aka.doubaocdn.com/s/M9OBxKKg9z,飞利浦LED转向灯，高亮度长寿命，即插即用，防水设计，稳定可靠,数据未覆盖
csv-part-0074,春风 250SR 2020-2023,LED转向灯,飞利浦（PHILIPS）,Ultinon Pro3000 LED转向灯,120,天猫飞利浦汽车照明旗舰店,https://goods.taobao.com/t/biandeng_733/1dd6409ca55f87a859c93b34a984096d.html,https://aka.doubaocdn.com/s/LzhlMFqB07,飞利浦Ultinon Pro3000，入门级LED转向灯，亮度提升明显，即插即用，性价比高,数据未覆盖
csv-part-0075,春风 250SR 2020-2023,LED转向灯,飞利浦（PHILIPS）,LED转向灯带日行灯,180,天猫飞利浦汽车照明旗舰店,https://goods.taobao.com/t/biandeng_733/1dd6409ca55f87a859c93b34a984096d.html,https://aka.doubaocdn.com/s/M9OBxKKg9z,飞利浦LED转向灯带日行灯，双色一体，转向黄光+日行白光，提升日间行车安全,数据未覆盖
